region	ring	station	sector	layer	subsector	roll	nstrips_geom	nstrips_noise	eff_mean	eff_min	eff_max	n_dead	eta	phi	rawId
0	-2	4	12	1	2	3	48	48	0.969996	0.969996	0.969996	0	-0.763857	-0.511819	637638125
0	-1	1	1	1	1	1	90	90	0.963825	0.963825	0.963825	0	-0.475088	0.0906435	637566993
0	-1	1	1	1	1	3	90	90	0.961033	0.961033	0.961033	0	-0.72172	0.0906435	637632529
0	-1	1	1	2	1	1	84	84	0.971048	0.971048	0.971048	0	-0.440905	0.0736394	637569041
0	-1	1	1	2	1	3	84	84	0.986443	0.986443	0.986443	0	-0.673615	0.0736394	637634577
0	-1	1	2	1	1	1	90	90	0.91543	0.91543	0.91543	0	-0.475088	0.614242	637567121
0	-1	1	2	1	1	3	90	90	0.963249	0.963249	0.963249	0	-0.72172	0.614242	637632657
0	-1	1	2	2	1	1	84	84	0.969486	0.969486	0.969486	0	-0.440905	0.597238	637569169
0	-1	1	2	2	1	3	84	84	0.971701	0.971701	0.971701	0	-0.673615	0.597238	637634705
0	-1	1	3	1	1	1	90	90	0.921023	0.921023	0.921023	0	-0.537345	1.13784	637567249
0	-1	1	3	1	1	3	90	90	0.972964	0.972964	0.972964	0	-0.740069	1.13784	637632785
0	-1	1	3	2	1	1	84	84	0.954917	0.954917	0.954917	0	-0.499334	1.12084	637569297
0	-1	1	3	2	1	3	84	84	0.927204	0.927204	0.927204	0	-0.691064	1.12084	637634833
0	-1	1	4	1	1	1	90	90	0.944935	0.944935	0.944935	0	-0.475088	1.66144	637567377
0	-1	1	4	1	1	3	90	90	0.967926	0.967926	0.967926	0	-0.72172	1.66144	637632913
0	-1	1	4	2	1	1	84	84	0	0	0	84	-0.440905	1.64444	637569425
0	-1	1	4	2	1	3	84	84	0	0	0	84	-0.673615	1.64444	637634961
0	-1	1	5	1	1	1	90	90	0.965925	0.965925	0.965925	0	-0.475088	2.18504	637567505
0	-1	1	5	1	1	3	90	90	0.971353	0.971353	0.971353	0	-0.72172	2.18504	637633041
0	-1	1	5	2	1	1	84	84	0.95941	0.95941	0.95941	0	-0.440905	2.16803	637569553
0	-1	1	5	2	1	3	84	84	0.965158	0.965158	0.965158	0	-0.673615	2.16803	637635089
0	-1	1	6	1	1	1	90	90	0.958754	0.958754	0.958754	0	-0.475088	2.70864	637567633
0	-1	1	6	1	1	3	90	90	0.969162	0.969162	0.969162	0	-0.72172	2.70864	637633169
0	-1	1	6	2	1	1	84	84	0.958636	0.958636	0.958636	0	-0.440905	2.69163	637569681
0	-1	1	6	2	1	3	84	84	0.973899	0.973899	0.973899	0	-0.673615	2.69163	637635217
0	-1	1	7	1	1	1	90	90	0.948807	0.948807	0.948807	0	-0.475088	-3.05095	637567761
0	-1	1	7	1	1	3	90	90	0.971808	0.971808	0.971808	0	-0.72172	-3.05095	637633297
0	-1	1	7	2	1	1	84	84	0.952932	0.952932	0.952932	0	-0.440905	-3.06795	637569809
0	-1	1	7	2	1	3	84	84	0.976062	0.976062	0.976062	0	-0.673615	-3.06795	637635345
0	-1	1	8	1	1	1	90	90	0.888609	0.888609	0.888609	0	-0.475088	-2.52735	637567889
0	-1	1	8	1	1	3	90	90	0.929914	0.929914	0.929914	0	-0.72172	-2.52735	637633425
